"Incident ID","Incident Date",State,"City Or County",Address,"Victims Killed","Victims Injured","Suspects Killed","Suspects Injured","Suspects Arrested",Operations
2789926,"December 30, 2023",Texas,Houston,"1933 Hussion St",0,1,0,0,0,N/A
2791613,"December 30, 2023",Maryland,Baltimore,"4300 block of Seminole Ave",1,0,0,0,1,N/A
2790232,"December 30, 2023","West Virginia",Salem,"Lake Floyd Cir",0,0,0,1,1,N/A
2789929,"December 30, 2023",Kentucky,"Bowling Green","1801 Morgantown Rd",1,0,0,0,1,N/A
2791217,"December 30, 2023",Virginia,Richmond,"Forest Ave and Pine St",0,1,0,0,0,N/A
2817860,"December 30, 2023",Tennessee,Chattanooga,"Hancock Rd",0,1,0,0,1,N/A
2790215,"December 30, 2023",Georgia,Decatur,"Wesley View",0,1,0,0,0,N/A
2790313,"December 30, 2023",Alabama,Birmingham,"9300 block of Parkway E",1,1,0,0,1,N/A
2790846,"December 30, 2023",California,Fresno,"4907 E Kings Canyon Rd",0,1,0,0,0,N/A
2790397,"December 30, 2023","District of Columbia",Washington,"U St NW and 12th St NW",0,1,0,0,0,N/A
2791581,"December 30, 2023",Florida,Ocala,"2200 block of SW 146th Ave Rd",1,0,0,0,0,N/A
2790367,"December 30, 2023",Ohio,Columbus,"300 block of Seemic Cir",0,1,0,0,0,N/A
2793875,"December 30, 2023",Indiana,Lafayette,"2100 block of Charles St",0,1,0,0,0,N/A
2791087,"December 30, 2023",Arkansas,"Hot Springs National Park (Hot Springs)","1200 block of Whittington Ave",0,1,0,0,0,N/A
2790244,"December 30, 2023",Texas,Dallas,"6100 block of Mountain Creek Pkwy",2,0,0,0,1,N/A
2790042,"December 30, 2023",Louisiana,"Baton Rouge","3100 block of Lanier Dr",1,0,0,0,0,N/A
2791973,"December 30, 2023",Virginia,Richmond,"1800 E Broad St",0,1,0,0,0,N/A
2793651,"December 30, 2023",Virginia,"Virginia Beach","200 Aragona Blvd",0,1,0,0,1,N/A
2790144,"December 30, 2023",Virginia,Suffolk,"6200 block of Oakglen Dr",0,0,0,1,0,N/A
2790142,"December 30, 2023",Indiana,"Fort Wayne","Oxford St",0,1,0,0,0,N/A
2791964,"December 30, 2023",Georgia,Lithonia,"600 block of Hillandale Dr",0,1,0,0,0,N/A
2793788,"December 30, 2023",Florida,"Fort Lauderdale (Sunrise)",N/A,0,1,0,0,1,N/A
2790129,"December 30, 2023",California,Sacramento,"9400 block of Mira Del Rio Dr",0,1,0,0,1,N/A
2790352,"December 30, 2023",Washington,Tacoma,WA-7,1,2,0,0,0,N/A
2792455,"December 30, 2023",California,Avenal,"E Dome St and S Central Ave",1,0,0,0,1,N/A
